,name,url,views,comments
0,Как в 13 лет заработать на 3D-моделировании,https://www.gb.ru/posts/how-make-3d-money,51690,-1
1,"Как совмещать работу, семью и обучение ИТ",https://www.gb.ru/posts/howmakeall,52629,6
2,"Закончить GeekSchool, чтобы помогать маме с бизнесом",https://www.gb.ru/posts/buisnesformom,53150,5
3,"Маркетолог Gucci, курьер, аналитик ― карьера нашего студента",https://www.gb.ru/posts/guccikurieranalytics,51693,3
4,Как выступления помогают профессиональному развитию,https://www.gb.ru/posts/publictalk,53964,1
5,Как нейросети помогут в работе руководителю проектов,https://www.gb.ru/posts/neurosetihelp,56172,3
6,Как создать и продать свой NFT,https://www.gb.ru/posts/createnft,69350,3
7,Как из маркетинга уйти в продакт-менеджеры,https://www.gb.ru/posts/neuperetsyavpotolok,651,0
8,Почему в каждой ИТ-вакансии требуется Docker ,https://www.gb.ru/posts/dockerwhowhat,60081,0
9,Как бросить нанотехнологии ради программирования роботов,https://www.gb.ru/posts/rakbrositnano,648,0
10,Как наш ученик полгода писал игру про космос,https://www.gb.ru/posts/kosmosgeme,58416,2
11,Наш ученик написал мультфильм про восстание арбузов,https://www.gb.ru/posts/multikidelaem,58221,0
12,Зачем бросать руководящую должность и снова писать код,https://www.gb.ru/posts/zachembrosat,708,0
13,Самоорганизация в команде ― миф или реальность,https://www.gb.ru/posts/samooganizatio,58434,0
14,Из стажеров в руководители: опыт студента GeekBrains ,https://www.gb.ru/posts/putotstazhera,58689,0
15,Как из полицейского стать универсальным ИТ-солдатом,https://www.gb.ru/posts/kakstatitsoldatom,61967,0
16,Как управлять айтишниками?,https://www.gb.ru/posts/gibkiemetodologii,57308,0
17,Зачем нужен менеджер в онлайн-образовании ,https://www.gb.ru/posts/onlaineducation,59205,0
18,Как за 2 года стать сеньором и в 4 раза увеличить зарплату,https://www.gb.ru/posts/kakstatseniorom,753,0
19,Как пересесть с коня на Backend,https://www.gb.ru/posts/horsesorbackend,526,0
20,Как начать продавать на маркетплейсах,https://www.gb.ru/posts/sellonmarket,61227,0
21,"Как стать тестировщиком, лежа на больничной койке",https://www.gb.ru/posts/kakstattestirovshikom,523,0
22,Как выработать привычку не тратить все заработанные деньги,https://www.gb.ru/posts/savemoney,68688,1
23,Как устроены компьютерные вирусы,https://www.gb.ru/posts/kaksdelanyvirusy,74504,0
24,Как получить предложение работать в Apple,https://www.gb.ru/posts/volodingsp,76342,1
25,Как стать миллионером в 14 лет и потерять все в 20,https://www.gb.ru/posts/popovtovk,77554,1
26,Куда инвестору деть первый миллион прибыли,https://www.gb.ru/posts/investor-invest,78959,1
27,Как от дизайна листовок перейти к проектам для космоса,https://www.gb.ru/posts/designforspace,558,0
28,Как 12-летняя выиграла у студентов олимпиаду по разработке,https://www.gb.ru/posts/kakshestiklassnicapobedyla,385,0
29,Как из парковщика стать программистом для АЭС,https://www.gb.ru/posts/programmingforatomic,376,0
30,Как за 10 минут обновить программу у миллионов пользователей,https://www.gb.ru/posts/how-update-from-millions,36769,1
31,"Как сделать стартап, который купит Яндекс",https://www.gb.ru/posts/startup-bye-yandex,28039,0
32,Как Apple своровала у Google и ничего ей за это не было ,https://www.gb.ru/posts/apple-versus-google,34319,0
33,«Первую работу я нашла уже на втором месяце обучения в GB» ,https://www.gb.ru/posts/kak-ya-stala-itishnikom,393,0
34,Итоги весеннего конкурса лучших проектов ,https://www.gb.ru/posts/itogi-kokursa-luchih-31-marta-2023,33254,0
35,Как математика предсказывает торнадо,https://www.gb.ru/posts/matematika-tornado,31715,2
36,Как мастеру по ресницам стать дизайнером,https://www.gb.ru/posts/master-disaina,32117,1
37,Как астрономия связана с программированием,https://www.gb.ru/posts/astronomiyaiprogrammirovanie,28342,0
38,Конкурс ИТ-проектов от GeekBrains,https://www.gb.ru/posts/new-conkurs,29229,0
39,Как устроен современный мир дизайна,https://www.gb.ru/posts/kak-stat-dizainerom,27131,2
40,Тенденции развития метавселенных ,https://www.gb.ru/posts/kuda-idut-metaversy,26473,0
41,Как обработать миллион заказов в день,https://www.gb.ru/posts/kak-ustroen-dm,30417,0
42,Как компьютеры учатся понимать человеческий язык,https://www.gb.ru/posts/kak-komputer-ponimaet,25045,0
43,Зачем выкатывать обновления каждый день,https://www.gb.ru/posts/zachem-vykatyvat,27226,0
44,Игра как тренажер предпринимательского мышления,https://www.gb.ru/posts/igra-kak-trenajer,21711,1
45,Что такое квантовые компьютеры,https://www.gb.ru/posts/kvantovyi-komp-ucheny,24662,2
46,Зачем нужен мета-риэлтор и мета-секьюрити ,https://www.gb.ru/posts/zachem-nuzhen-metarieltor,14997,0
47,Как санкции помогли создать свою систему распознавания лиц,https://www.gb.ru/posts/sankcii-pomogli,26419,3
48,Как компьютер помог предотвратить ядерную войну,https://www.gb.ru/posts/nuclear-war,25255,0
49,Более 5000 человек получат цифровую профессию в GeekBrains,https://www.gb.ru/posts/postupili-chifrovye-professii,16488,0
50,Как предсказать убеждения людей по подпискам в соцсетях,https://www.gb.ru/posts/kak-predskazat-ubezhdenia,20155,0
51,Как создать конкурента картам Google,https://www.gb.ru/posts/howmakeconcurencegoogle,22846,0
